laua,laua_name,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >=300 Mbit/s (number of lines),Number of connections >=30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
E06000005,DARLINGTON,78.1,94.1,1000,5.1,17.8,100.4,117.4,379.3,10,11.8,115,0.8,2,13.4,14.7,34.6,511,1665,2233,4269,28885,1878,30763,0.4,0.2,0.1,0.2,0.4,0.4,0.6
E07000107,DARTFORD,53.4,78.8,1000,5.8,18.4,73.3,100.1,367.1,10,19.1,180,1,3,14.4,24.7,127,322,1103,2277,6155,27421,2761,30182,0.6,0.4,0.1,0.3,0.6,0.6,0.5
E07000151,DAVENTRY,40,57.4,1000,5.5,19.4,62.1,76.3,366.4,10,20.5,1000,0.9,2.7,16.3,28.7,280,326,1069,1874,6480,20882,1027,21909,0.4,0.2,0.1,0.3,0.5,0.5,0.6
W06000004,DENBIGHSHIRE,39.8,42.1,1000,5.3,18.5,57,58.3,406.3,10,9.8,165,0.9,2.3,14.1,14.3,54,546,1467,2472,7850,21450,84,21534,0.4,0.2,0.1,0.3,0.6,0.6,0.8
E06000015,DERBY,75.9,90.6,1000,6,17.8,94.2,110.1,380,10,12.1,115,1,2.4,13.6,14.7,34.4,426,1612,3885,11675,65269,3864,69133,0.4,0.2,0.1,0.2,0.5,0.5,0.6
E07000035,DERBYSHIRE DALES,39.1,40.8,1000,5.3,19.1,56.6,58.3,370.1,8.9,9.2,115,0.9,2.6,13.7,13.9,52.4,434,1185,1867,6928,15577,89,15666,0.4,0.2,0.1,0.2,0.4,0.4,0.6
N09000005,DERRY CITY AND STRABANE,54.8,69.2,1000,5.2,18.6,78.2,87.6,378.5,10,11.3,220,0.9,2.3,13.7,14.4,36.1,663,1516,2484,7473,35667,1157,36824,0.4,0.4,0.2,0.3,0.5,0.6,0.7
E08000017,DONCASTER,40,61.1,2480.86,5.8,19.1,71.4,82,384.8,10,10.4,180,1,2.8,13.3,14.1,37.4,798,2840,5960,23437,70003,2445,72448,0.4,0.2,0.1,0.3,0.5,0.5,0.7
E06000059,DORSET,39.1,41.8,1422.72,5.6,19,56,57.5,388.6,9.8,9.6,423.46,1,2.8,13.7,13.8,47.5,1647,4929,8944,36280,87796,402,88198,0.4,0.2,0.1,0.3,0.4,0.4,0.7
E07000108,DOVER,39.9,58.4,550,5.7,18.9,64.9,80.1,369.2,10,13.1,180,1,2.8,13.3,18.5,116.6,405,1392,2642,9007,25895,1356,27251,0.4,0.2,0.2,0.4,0.5,0.5,0.5
E08000027,DUDLEY,72.9,91.1,1124,6.1,18,94.9,113,399.8,10,11.9,115,1,2.8,13.4,14.7,34.8,530,2643,6848,14027,80519,5085,85604,0.4,0.2,0.1,0.3,0.5,0.5,0.6
S12000006,DUMFRIES AND GALLOWAY,38,38.8,1000,5.1,19.5,54.7,55.6,377.1,7.8,8.7,115,0.8,2.7,13.2,13.3,54.2,1247,2817,4028,14914,33235,90,33325,0.4,0.2,0.1,0.3,0.5,0.5,0.8
S12000042,DUNDEE CITY,76.3,94.1,1000,6.4,18.2,97.6,115.2,379.4,10,12.3,115,1,2,13.8,15.1,34.5,179,735,2427,8870,42765,2855,45620,0.4,0.2,0.1,0.2,0.4,0.4,0.4
E09000009,EALING,65.4,75.4,1000,6.2,17.3,81.4,92.4,369,10,12.8,180,1,2.4,14.7,15.8,44.5,514,2311,6532,13948,81957,3280,85237,0.4,0.4,0.2,0.3,0.5,0.5,0.5
S12000008,EAST AYRSHIRE,40,56.4,1000,5,19.2,65.6,74.3,387.4,10,10.4,220,0.9,2.7,13.3,14,36,611,1870,2278,8577,30529,848,31377,0.4,0.2,0.1,0.3,0.6,0.6,0.7
E07000009,EAST CAMBRIDGESHIRE,42.9,57.6,1000,5.7,19.5,67.2,74.3,377.5,10,11.6,180,1,2.9,13.9,15.3,76.8,280,656,1428,6584,21916,512,22428,0.4,0.2,0.2,0.3,0.5,0.5,0.6
E07000040,EAST DEVON,39.1,49.3,1000,5.2,19.1,56.1,71.5,362.1,9,14,1000,0.9,2.6,13.5,21.6,175.1,866,2785,3798,13546,31521,1665,33186,0.4,0.2,0.1,0.3,0.4,0.4,0.5
S12000045,EAST DUNBARTONSHIRE,73.2,93.4,1000,6,18,99.5,120.3,388,10,11.8,115,0.9,2.2,13.7,15.2,34.8,228,923,2098,7180,28548,2212,30760,0.4,0.2,0.1,0.2,0.4,0.4,0.5
E07000085,EAST HAMPSHIRE,40,59.2,1000,5.9,18.7,70.4,79.5,374.3,10,11,180,1,2.6,13.8,15,54.1,372,1116,2364,10596,30309,935,31244,0.4,0.2,0.1,0.3,0.5,0.5,0.6
E07000242,EAST HERTFORDSHIRE,55,79.2,1000,5.7,18.9,84.8,102.3,374.3,10,13.9,1000,1,2.5,14.5,18.1,74.5,445,1332,2539,10353,38322,2470,40792,0.4,0.2,0.1,0.3,0.5,0.5,0.6
E07000137,EAST LINDSEY,39.9,46.2,1000,5.1,18.8,61,63.7,380,10,9.8,115,0.9,2.5,13.9,14.1,37.8,930,2143,3146,11893,32721,280,33001,0.4,0.2,0.1,0.2,0.4,0.4,0.6
S12000010,EAST LOTHIAN,39.1,44.4,1124,6,18.5,56.7,62.4,405.2,9.7,10,180,1,2.5,13.7,14.8,82.2,324,1127,2602,10975,24160,398,24558,0.4,0.2,0.1,0.3,0.6,0.6,0.6
E07000152,EAST NORTHAMPTONSHIRE,52.5,72.3,1000,5.9,18.7,76,91.2,369.3,10,18.2,1000,1,2.5,14.9,23.6,182.3,220,618,1389,6456,24646,1353,25999,0.4,0.2,0.1,0.3,0.5,0.5,0.6
S12000011,EAST RENFREWSHIRE,57.5,86.6,1000,6.3,18.5,93.4,113.9,391.8,10,11.5,165,1,2.6,13.6,15.1,35.1,181,614,1948,6647,22906,1693,24599,0.4,0.2,0.1,0.3,0.5,0.5,0.6
E06000011,EAST RIDING OF YORKSHIRE,50,79.2,1000,5.5,18.8,77.8,99.6,414.7,10,14.6,500,0.9,2.2,16.4,18.6,51.2,851,2437,4339,20732,83217,5753,88970,0.4,0.2,0.1,0.3,0.4,0.4,0.7
E07000193,EAST STAFFORDSHIRE,40,54.7,1000,5.3,19.5,63.7,70.5,397.4,10,11,180,0.9,3.3,13.7,14.4,44.7,506,1698,2438,7017,29648,615,30263,0.4,0.2,0.1,0.3,0.5,0.5,0.6
E07000244,EAST SUFFOLK,40,48.8,1000,5.2,19.5,59.3,64.2,372.5,10,10.9,220,0.9,3,13.6,14.8,92.3,1266,3419,4858,19721,63416,1004,64420,0.4,0.2,0.1,0.3,0.4,0.5,0.5
E07000061,EASTBOURNE,40,42.9,1000,5.8,18.1,54.3,54.6,421.8,10,11,115,1,2.8,14.5,14.5,56.8,277,1366,2535,6286,26479,17,26496,0.4,0.2,0.1,0.2,0.5,0.5,0.9
E07000086,EASTLEIGH,53.3,71.5,1124,6.2,18.4,78.2,91.1,388,10,11.8,180,1,2.5,13.9,15.1,43.1,203,1026,2620,8815,35323,1523,36846,0.4,0.2,0.1,0.3,0.5,0.5,0.6
E07000030,EDEN,39.1,41,1000,4.6,19.3,56.8,57.8,382.9,9.6,9.3,115,0.8,2.6,13.8,13.9,52.5,600,1001,1177,4631,11973,38,12011,0.4,0.2,0.1,0.3,0.4,0.4,0.7
E07000207,ELMBRIDGE,62.9,85.6,1000,6,19.1,85.6,103.7,376,10,13,180,1,3.2,14.3,15.7,36.6,200,898,2120,7100,37561,2508,40069,0.4,0.4,0.1,0.3,0.5,0.5,0.6
E09000010,ENFIELD,75.4,89.7,550,6,17.9,93.3,109.3,374.7,10,12.3,75,1,2.7,13.8,15,34.3,509,2308,5453,12533,76411,4603,81014,0.4,0.4,0.2,0.3,0.5,0.5,0.6
E07000072,EPPING FOREST,54.8,83.4,1000,5.5,18.5,86.9,112.5,388.6,10,19.1,1000,0.9,2.4,16.1,26.3,136.2,635,1676,3254,8983,31902,2953,34855,0.4,0.2,0.1,0.3,0.5,0.5,0.6
E07000208,EPSOM AND EWELL,59.8,85,1000,6.1,18.7,86.5,104.4,382.2,10,12.6,115,1,3,14.2,15.5,34.9,111,552,1319,4072,20640,1327,21967,0.4,0.2,0.1,0.3,0.5,0.5,0.6
E07000036,EREWASH,59,81.8,484,5.8,18.8,86.9,101.9,376.5,10,11.8,50,0.9,2.8,13.6,14.7,34.4,294,1034,2213,6011,30649,1675,32324,0.4,0.2,0.1,0.3,0.5,0.5,0.6
E07000041,EXETER,67.8,87.7,1000,6,18.2,95.8,114.1,376.2,10,12.1,220,0.9,2.2,13.6,15.8,47.8,302,1483,3453,6240,30574,2127,32701,0.4,0.2,0.2,0.3,0.4,0.4,0.6
S12000014,FALKIRK,72.7,95,1124,5.9,18.8,98.9,120.8,384.1,10,11.9,115,0.9,2.7,13.4,15,34.6,360,1630,3650,9487,43849,3648,47497,0.4,0.2,0.1,0.3,0.5,0.5,0.6
E07000087,FAREHAM,65.4,86.8,550,5.8,18.3,91.5,107.2,377.9,10,12.1,75,0.9,2.8,13.8,14.9,34.8,255,985,1863,6176,31368,1822,33190,0.4,0.2,0.1,0.2,0.4,0.4,0.6
E07000010,FENLAND,40,61.7,1000,5.9,18.5,72.2,84.3,383.4,10,10.3,115,1,2.5,13.5,14.4,35.3,313,842,1955,8819,23575,960,24535,0.4,0.2,0.2,0.4,0.5,0.5,0.7
N09000006,FERMANAGH AND OMAGH,38.3,39.6,500,4.5,18.8,59.4,61.2,332.7,7.6,8.8,165,0.8,2.5,14,14.2,49.8,1522,2793,2988,7603,19135,127,19262,0.4,0.2,0.2,0.3,0.5,0.5,0.8
S12000047,FIFE,48,66.9,1000,5.7,18.9,75.1,87.4,386.8,10,11,115,0.9,2.6,13.6,14.4,34.9,1077,3908,7362,28502,99521,4079,103600,0.4,0.2,0.1,0.3,0.5,0.5,0.6
W06000005,FLINTSHIRE,39.8,45.1,1000,5.3,19.1,57.7,59.7,382.7,10,10.3,115,0.9,3,13.8,14,53.3,798,2453,3842,10147,37124,236,37360,0.4,0.2,0.1,0.3,0.6,0.6,0.8
E07000112,FOLKESTONE AND HYTHE,40,59.2,550,5.3,18.4,70.7,81.4,374,10,10.9,180,0.9,2.4,13.8,15.4,56.7,661,1321,2165,8385,24476,900,25376,0.4,0.2,0.2,0.3,0.5,0.5,0.6
E07000080,FOREST OF DEAN,32,39.3,1000,5.5,18.4,57.1,64.2,353.1,6.7,11.3,1000,0.9,2.4,14,20.2,272.6,582,2162,3614,8389,15289,375,15664,0.4,0.2,0.1,0.3,0.5,0.5,0.5
E07000119,FYLDE,40,52.9,1000,6,18.2,66.2,73.6,381.2,10,10.2,115,1,2.6,14,14.6,36.9,275,813,2168,7378,19374,461,19835,0.4,0.2,0.2,0.3,0.5,0.5,0.7
E08000037,GATESHEAD,55,78.3,1000,6,17.9,92.1,106,376.9,10,10.6,180,0.9,2.1,13.3,14.4,35.8,519,2505,5391,13098,48086,2465,50551,0.4,0.2,0.1,0.3,0.5,0.5,0.6
E07000173,GEDLING,78.1,94.3,1000,5.9,18.1,96.1,112.6,382.2,10,12.4,115,1,2.5,13.5,14.8,35,223,811,1714,5372,33456,2052,35508,0.4,0.2,0.1,0.2,0.4,0.4,0.6
S12000049,GLASGOW CITY,55,73.5,1000,6.3,17.6,81.4,94,387.8,10,11.9,115,0.9,1.8,14.5,15.4,35.2,1081,4352,12593,40129,162381,6934,169315,0.4,0.2,0.1,0.2,0.5,0.5,0.6
E07000081,GLOUCESTER,75.8,96.8,1000,5.4,18.5,98.5,117.2,379.8,10,12.5,115,0.9,2.7,13.6,15,34.6,397,1257,1963,5533,34953,2481,37434,0.4,0.2,0.1,0.3,0.4,0.4,0.6
E07000088,GOSPORT,68.1,87.7,484,5.4,18.7,89.9,103.3,379.3,10,12.4,50,0.9,2.8,13.6,14.6,34.3,243,660,1127,3276,24017,1169,25186,0.4,0.2,0.1,0.2,0.5,0.5,0.6
E07000109,GRAVESHAM,55,77.3,1000,5.7,18.4,82.5,97.3,383.2,10,12,115,1,2.9,14,15.1,35.5,243,1022,1877,5419,25803,1343,27146,0.6,0.4,0.2,0.4,0.6,0.6,0.7
E07000145,GREAT YARMOUTH,47.3,68.7,1000,5.9,18.8,74.7,90.1,374.8,10,12.8,180,1,2.6,13.7,17.1,80.5,206,923,1748,7236,23976,1295,25271,0.4,0.2,0.1,0.3,0.5,0.5,0.6
E09000011,GREENWICH,59.8,76.5,1000,6.1,17.4,80.6,94.4,371.6,10,13.3,220,0.9,2.3,14.2,16.5,62.4,394,1930,4789,12815,66701,3332,70033,0.4,0.4,0.2,0.3,0.5,0.5,0.6
E07000209,GUILDFORD,70.2,85.5,1000,5.2,19.8,87.7,102,371.5,10,12.8,115,0.9,3.4,14.1,15.2,35,405,1431,1845,5773,38852,2064,40916,0.4,0.2,0.1,0.3,0.4,0.5,0.6
W06000002,GWYNEDD,39.1,41.7,1000,5,18.9,57.6,59.9,382.3,9.3,9.4,115,0.9,2.3,14,14.2,52.1,1134,2411,3497,10172,26630,192,26822,0.4,0.2,0.1,0.2,0.4,0.5,0.8
E09000012,HACKNEY,64.3,73.2,1000,6.7,17,83.7,93.8,362.7,10,12.2,180,1,1.7,14.5,16,55.4,303,1051,4347,15383,58434,2186,60620,0.4,0.4,0.2,0.2,0.5,0.5,0.5
E06000006,HALTON,60.8,84.4,1124,5.5,19.1,85.7,103.7,387.5,10,12.2,115,0.9,3,13.7,14.9,34.8,333,1340,2062,6483,35034,2215,37249,0.6,0.4,0.1,0.3,0.6,0.6,0.6
E07000164,HAMBLETON,39.9,45.3,1000,5,19.2,55.8,61.6,359.3,10,11.6,180,0.9,2.6,13.9,16.7,160.6,604,1335,1854,7441,20899,410,21309,0.4,0.2,0.1,0.3,0.4,0.4,0.5
E09000013,HAMMERSMITH AND FULHAM,54.1,58.5,1000,6.7,17.2,71.6,76.8,358.9,10,11.8,75,1,1.6,15.7,16.1,37.3,229,787,3416,14602,44764,826,45590,0.4,0.2,0.1,0.2,0.5,0.5,0.5
E07000131,HARBOROUGH,47.8,58.3,1000,5.9,18.7,66.4,73.6,369,10,12.9,1000,1,2.7,14.4,16.7,113.1,234,616,1394,6805,24557,600,25157,0.4,0.2,0.2,0.3,0.5,0.5,0.6
E09000014,HARINGEY,74,83.9,484,6.5,17.2,91.2,103.8,364,10,12.2,50,1,1.9,14.3,15.2,34.4,347,1282,4669,12175,62315,3026,65341,0.4,0.4,0.2,0.2,0.5,0.5,0.6
E07000073,HARLOW,78.1,103.3,1000,5.3,19.1,97.8,121.3,376.4,10,14.7,180,0.9,3.1,13.7,17.2,55.1,221,888,1240,2825,23830,2190,26020,0.4,0.4,0.1,0.4,0.5,0.5,0.6
E07000165,HARROGATE,51.9,69.2,1000,5.5,18.5,81.4,94.4,377.7,10,11.2,180,0.9,2.2,14.2,15.5,43.6,676,1985,3377,12700,39021,1786,40807,0.4,0.2,0.1,0.2,0.4,0.4,0.6
E09000015,HARROW,70.2,83.4,1000,6.2,18.1,87.1,100.3,373.7,10,12.7,115,1,2.7,14.3,15.3,34.7,333,1550,4259,9153,60530,2911,63441,0.4,0.4,0.2,0.3,0.5,0.5,0.6
E07000089,HART,65.4,93.7,2480.86,6,19.3,86.6,114.6,375,10,17.6,180,1,2.8,14,21.7,94,190,601,1471,5377,25811,2772,28583,0.4,0.2,0.2,0.3,0.5,0.5,0.5
E06000001,HARTLEPOOL,107,100.1,484,5.1,18.4,100.7,118,378.5,10,12.4,50,0.8,2.5,13.2,14.5,34.3,327,894,1204,3119,25374,1686,27060,0.4,0.2,0.1,0.3,0.5,0.5,0.7
E07000062,HASTINGS,39.8,40,330,5.9,18.9,52.8,53,330,10,10,50,1,3.2,13.8,13.9,50,254,1165,2327,7064,21471,14,21485,0.4,0.2,0.1,0.4,0.6,0.6,1
E07000090,HAVANT,63.6,89.9,550,6.1,18.9,92.7,111,380.6,10,12.1,75,1,2.9,13.6,14.9,34.4,176,932,2377,6678,33865,2308,36173,0.4,0.2,0.1,0.3,0.4,0.5,0.6
E09000016,HAVERING,63.8,86.8,1000,6,18,87.9,107.5,379.7,10,12.9,250,1,2.9,14,15.9,41.5,456,2114,4778,11936,63505,4575,68080,0.4,0.4,0.1,0.3,0.5,0.5,0.6
E06000019,"HEREFORDSHIRE, COUNTY OF",39.9,46.5,2480.86,4.9,19,59.7,65.1,393.1,10,11.9,1000,0.9,2.6,14.6,17.5,194.4,1543,4173,4797,13022,41982,691,42673,0.4,0.2,0.1,0.2,0.4,0.4,0.6
E07000098,HERTSMERE,67.1,86.4,550,6,18.3,88.3,105.9,380.9,10,12.7,75,1.1,3,14.3,15.5,34.5,195,817,2027,4979,28114,1792,29906,0.4,0.4,0.2,0.4,0.5,0.5,0.6
E07000037,HIGH PEAK,39.1,41.4,1000,5.4,19,56.1,56.9,375.4,9.5,9.5,115,0.9,2.6,13.8,13.9,52.7,401,1225,1979,8599,20685,54,20739,0.4,0.2,0.1,0.3,0.5,0.5,0.7
S12000017,HIGHLAND,35.7,37,1000,5,19.4,53.6,55.3,358.9,7.4,8.6,180,0.7,2.7,12.9,13.5,126,2771,5173,7545,25127,51419,274,51693,0.4,0.2,0.1,0.3,0.5,0.5,0.5
E09000017,HILLINGDON,72.5,87.6,1000,6,17.8,90,107.5,372.1,10,13.1,180,0.9,2.4,14.4,16.1,42.4,483,2175,5274,12116,70392,4636,75028,0.4,0.4,0.1,0.3,0.5,0.5,0.6
E07000132,HINCKLEY AND BOSWORTH,54.8,74.8,1000,5.7,19.1,81,93.5,380.1,10,11.6,115,0.9,2.9,13.5,14.4,35,297,1041,1955,6707,30780,1342,32122,0.4,0.2,0.2,0.3,0.5,0.5,0.6
E07000227,HORSHAM,40,51.9,1000,5.5,19,61,67.9,372,10,12.5,180,1,2.8,14.5,16.9,124.7,572,1699,2970,10834,36677,833,37510,0.4,0.2,0.1,0.2,0.3,0.3,0.6
E09000018,HOUNSLOW,75.9,89.1,1000,6,17.4,91.6,107,369,10,13,180,0.9,2.3,14.5,15.6,35.1,429,2026,4629,9124,65601,3870,69471,0.6,0.4,0.1,0.3,0.5,0.5,0.7
E07000011,HUNTINGDONSHIRE,53.3,70.5,1000,5.4,19.4,76.4,87.4,380.6,10,11.8,180,0.9,3,13.8,14.7,38.3,536,1661,2710,10615,49076,1849,50925,0.4,0.2,0.2,0.4,0.5,0.5,0.6
E07000120,HYNDBURN,54.8,71,1000,5.6,18.8,77.7,87.9,380.3,10,11.5,115,0.9,2.5,13.6,14.4,35.1,185,783,1397,3943,20507,720,21227,0.4,0.2,0.1,0.3,0.5,0.5,0.6
S12000018,INVERCLYDE,75.6,94.5,484,5.9,18.7,97.6,116.6,383.4,10,12.1,50,1,2.3,13.5,14.9,34.4,149,446,1119,4730,21542,1535,23077,0.4,0.2,0.1,0.3,0.4,0.5,0.6
E07000202,IPSWICH,62.3,84,1000,6.1,18.1,90.4,104.8,377.8,10,12,220,0.9,2.3,13.9,15,35.1,242,1118,2593,7247,35838,1895,37733,0.4,0.2,0.2,0.4,0.4,0.5,0.5
W06000001,ISLE OF ANGLESEY,39.8,45.1,1000,5,19.1,59.7,62.6,384.2,9.8,9.9,115,0.8,2.5,14,14.3,52.5,555,1228,1623,6185,16881,152,17033,0.4,0.2,0.1,0.2,0.5,0.5,0.8
E06000046,ISLE OF WIGHT,39.8,40.1,550,5.9,18.7,55,55.2,351,9.8,9.4,75,1,2.4,13.8,13.8,49.5,446,1278,3026,13348,29674,21,29695,0.4,0.2,0.1,0.2,0.5,0.5,1.2
E06000053,ISLES OF SCILLY,44.9,45.3,79.91,6,19.9,56.3,56.3,,10,11.7,20,1,4.4,14.7,14.7,,11,35,89,138,798,0,798,0.2,0.2,0.1,0.2,0.3,0.3,
E09000019,ISLINGTON,71.5,80.1,1000,6.8,16.6,93.9,107.3,366.8,10,11.2,180,0.9,1.4,14.2,15.3,37.5,257,1051,4818,16505,52305,2716,55021,0.4,0.2,0.2,0.2,0.4,0.4,0.5
E09000020,KENSINGTON AND CHELSEA,72.5,81.7,1000,6.3,16.7,89.5,104.9,360.9,10,12.7,115,1,1.6,15.4,16.5,35,364,1412,4471,9742,44767,2690,47457,0.2,0.2,0.1,0.2,0.3,0.3,0.3
E07000153,KETTERING,55.8,79.1,1000,5.6,18.8,85.6,99.7,372.8,10,14.2,1000,0.9,2.4,14.3,18.1,90.5,268,972,1618,6151,26758,1384,28142,0.4,0.2,0.1,0.3,0.5,0.5,0.6
E07000146,"KING'S LYNN AND WEST NORFOLK",39.8,42.2,1000,5.3,19.4,55.7,56.5,373,9.8,9.7,115,0.9,2.8,13.5,13.6,51.1,756,2123,3293,13072,36805,96,36901,0.4,0.2,0.2,0.3,0.5,0.5,0.8
E06000010,"KINGSTON UPON HULL, CITY OF",75,163,1000,6.3,15.8,112.4,181.4,420.5,20,24,500,0.9,1,21.6,26.5,43.6,115,749,2248,4606,49119,14172,63291,0.4,0.2,0.1,0.2,0.4,0.5,0.7
E09000021,KINGSTON UPON THAMES,76.3,93.2,484,6.5,17.9,93.9,111.2,373.4,10,13.3,180,1,2.3,14.3,15.9,39.5,167,694,2285,7626,44151,2909,47060,0.4,0.4,0.1,0.2,0.5,0.5,0.6
E08000034,KIRKLEES,52,73.5,1000,5.6,18.8,83.5,96.9,392.6,10,11.8,900,0.9,2.9,13.6,15.6,60.5,1254,5540,9491,24028,99091,4470,103561,0.4,0.2,0.1,0.3,0.5,0.5,0.6
E08000011,KNOWSLEY,65.2,88.6,1000,5.5,18.7,89.2,107.9,386.9,10,12.2,115,0.9,2.9,13.5,14.8,34.8,346,1512,2342,7056,40837,2739,43576,0.6,0.4,0.2,0.4,0.6,0.6,0.6
E09000022,LAMBETH,52.7,66.3,2480.86,6.7,17.1,77.8,86.5,364.6,10,11.2,180,1,1.8,14.2,14.9,39.2,351,1317,5492,22869,74648,2324,76972,0.4,0.4,0.2,0.3,0.5,0.5,0.6
E07000121,LANCASTER,40.1,102,1000,6,18.5,63.5,136.3,862.4,10,61.2,1000,1,2.6,14,84.4,785.9,381,1150,2856,9153,31402,3151,34553,0.4,0.2,0.2,0.3,0.5,0.5,0.4
E08000035,LEEDS,58.7,78.6,1000,5.9,18.2,87.3,101.4,379.5,10,11.6,900,0.9,2.3,13.7,15.1,42,1783,7817,16164,45014,191485,9709,201194,0.4,0.2,0.1,0.3,0.5,0.5,0.6
E06000016,LEICESTER,78.1,91.9,484,6.3,18.2,97.7,113,369.6,10,12.5,180,1,2.1,13.2,15.4,53.2,397,1822,5066,15219,78177,4642,82819,0.6,0.4,0.3,0.4,0.5,0.5,0.6
E07000063,LEWES,39.9,49,10000,6.2,18.9,60.2,66.4,413.9,10,10.1,115,1.1,2.7,13.8,14.2,36.5,240,785,2136,9475,23731,429,24160,0.4,0.2,0.1,0.3,0.5,0.5,0.6
